batch_id,inspection_date,line_id,product_code,units_inspected,units_passed,defect_count,defect_type,inspector_id,qc_result
BATCH-27007,2023-07-31,LINE-D,PROD-0133,199,197,2,None,INS-012,PASS
BATCH-40605,2024-10-08,LINE-C,PROD-0074,408,408,0,None,INS-002,PASS
BATCH-87590,2022-03-17,LINE-C,PROD-0162,242,242,0,None,INS-002,PASS
BATCH-58185,2024-06-09,LINE-D,PROD-0164,444,444,0,None,INS-027,PASS
BATCH-40318,2023-12-22,LINE-A,PROD-0048,151,151,0,,INS-009,PASS
BATCH-35433,2022-05-20,LINE-B,PROD-0035,83,83,0,None,INS-026,PASS
BATCH-72964,2024-10-22,LINE-D,PROD-0006,295,295,0,None,INS-021,PASS
BATCH-35271,2022-07-04,LINE-C,PROD-0184,171,170,1,None,INS-020,fail
BATCH-21993,2024-07-06,LINE-A,PROD-0192,323,322,1,None,INS-017,PASS
BATCH-90122,2024-02-16,LINE-C,PROD-0166,273,271,2,,INS-027,PASS
BATCH-76857,2023-07-24,LINE-D,PROD-0094,375,373,2,None,INS-010,PASS
BATCH-63442,2024-07-15,LINE-A,PROD-0054,197,197,0,None,INS-017,PASS
BATCH-68663,2022-06-08,LINE-B,PROD-0015,54,53,1,None,INS-014,PASS
BATCH-92592,2022-03-19,LINE-E,PROD-0128,138,137,1,,INS-030,PASS
BATCH-39124,2023-09-28,LINE-A,PROD-0077,238,238,0,None,INS-021,PASS
BATCH-48970,2023-11-26,LINE-C,PROD-0146,118,103,15,Wrong Label,INS-015,FAIL
BATCH-63485,2023-01-22,LINE-D,PROD-0045,330,330,0,None,INS-029,pass
BATCH-48062,2022-12-06,LINE-D,PROD-0090,305,303,2,,INS-012,pass
BATCH-57826,2023-01-24,LINE-B,PROD-0064,238,238,0,None,INS-014,PASS
BATCH-12170,2024-04-03,LINE-B,PROD-0159,466,466,0,None,INS-026,PASS
BATCH-92994,2024-03-16,LINE-D,PROD-0158,196,195,1,,INS-018,PASS
BATCH-71934,2023-01-19,LINE-C,PROD-0166,285,285,0,,INS-017,PASS
BATCH-57288,2024-02-07,LINE-E,PROD-0127,489,488,1,,INS-019,PASS
BATCH-15088,2024-02-23,LINE-A,PROD-0106,226,226,0,,INS-021,PASS
BATCH-12128,2022-05-17,LINE-C,PROD-0096,81,79,2,None,INS-018,PASS
BATCH-42293,2022-10-08,LINE-D,PROD-0121,69,67,2,None,INS-001,PASS
BATCH-81516,2024-06-20,LINE-D,PROD-0156,298,298,0,,INS-020,PASS
BATCH-65027,2023-09-09,LINE-C,PROD-0168,335,335,0,None,INS-029,PASS
BATCH-62773,2024-11-22,LINE-D,PROD-0082,211,209,2,,INS-008,PASS
BATCH-62181,2024-03-14,LINE-A,PROD-0068,238,236,2,None,INS-016,PASS
BATCH-84537,2024-11-05,LINE-B,PROD-0010,382,382,0,,INS-024,PASS
BATCH-50793,2022-09-07,LINE-B,PROD-0068,189,188,1,None,INS-006,PASS
BATCH-17836,2022-12-01,LINE-D,PROD-0151,274,272,2,,INS-002,PASS
BATCH-10901,2023-06-10,LINE-D,PROD-0167,75,73,2,Wrong Label,INS-015,FAIL
BATCH-33290,2024-03-15,LINE-B,PROD-0112,264,264,0,,INS-010,PASS
BATCH-81528,2022-12-11,LINE-E,PROD-0065,187,187,0,,INS-011,PASS
BATCH-68836,2024-08-11,LINE-A,PROD-0026,325,309,16,Surface Scratch,INS-015,FAIL
BATCH-85952,2023-05-10,LINE-D,PROD-0025,314,312,2,None,INS-008,pass
BATCH-17168,2024-09-01,LINE-B,PROD-0098,484,484,0,None,INS-001,PASS
BATCH-93301,2024-09-01,LINE-C,PROD-0021,120,118,2,None,INS-014,PASS
BATCH-90432,2024-10-15,LINE-C,PROD-0152,374,374,0,None,INS-007,PASS
BATCH-87482,2023-06-10,LINE-A,PROD-0196,113,113,0,None,INS-022,PASS
BATCH-78819,2023-03-02,LINE-A,PROD-0069,360,330,30,Colour Deviation,INS-011,FAIL
BATCH-99622,2023-07-25,LINE-C,PROD-0152,313,311,2,None,INS-006,PASS
BATCH-54454,2023-04-25,LINE-D,PROD-0054,406,405,1,,INS-015,PASS
BATCH-98832,2023-06-17,LINE-D,PROD-0171,453,451,2,None,INS-005,PASS
BATCH-34300,2022-10-10,LINE-E,PROD-0057,270,269,1,None,INS-013,PASS
BATCH-64545,2024-09-27,LINE-C,PROD-0043,287,287,0,,INS-004,PASS
BATCH-43185,2024-01-16,LINE-A,PROD-0154,339,337,2,,INS-018,PASS
BATCH-76380,2023-02-11,LINE-C,PROD-0014,238,238,0,,INS-006,PASS
BATCH-91495,2023-03-05,LINE-B,PROD-0096,85,85,0,None,INS-026,PASS
BATCH-51050,2023-12-30,LINE-A,PROD-0172,307,305,2,None,INS-001,PASS
BATCH-19233,2024-11-19,LINE-C,PROD-0036,201,201,0,,INS-017,PASS
BATCH-38679,2024-06-24,LINE-E,PROD-0169,353,353,0,,INS-015,PENDING
BATCH-80716,2022-10-01,LINE-B,PROD-0089,424,424,0,None,INS-027,PASS
BATCH-26475,2022-03-31,LINE-D,PROD-0067,347,347,0,,INS-003,PENDING
BATCH-96564,2023-11-11,LINE-B,PROD-0076,179,179,0,None,INS-013,pass
BATCH-61024,2024-10-21,LINE-E,PROD-0169,401,400,1,None,INS-016,PASS
BATCH-90690,2023-05-17,LINE-E,PROD-0059,347,346,1,None,INS-016,PASS
BATCH-76646,2024-09-02,LINE-D,PROD-0081,381,381,0,,INS-001,PASS
BATCH-57250,2024-03-29,LINE-E,PROD-0171,404,335,69,Contamination,INS-004,FAIL
BATCH-88708,2024-10-28,LINE-D,PROD-0194,108,108,0,None,INS-028,PASS
BATCH-97294,2022-10-28,LINE-A,PROD-0091,266,266,0,None,INS-008,PASS
BATCH-82341,2024-05-07,LINE-D,PROD-0082,123,123,0,None,INS-011,PASS
BATCH-41767,2022-11-08,LINE-E,PROD-0185,194,194,0,,INS-026,PASS
BATCH-70177,2024-09-14,LINE-E,PROD-0114,101,99,2,None,INS-025,PASS
BATCH-85360,2024-06-06,LINE-D,PROD-0040,389,388,1,None,INS-009,PASS
BATCH-30055,2023-10-27,LINE-D,PROD-0044,211,177,34,Colour Deviation,INS-027,FAIL
BATCH-81339,2024-11-05,LINE-D,PROD-0039,346,346,0,None,INS-008,PASS
BATCH-88183,2023-08-19,LINE-B,PROD-0012,388,376,12,Missing Part,INS-021,FAIL
BATCH-91937,2022-12-17,LINE-B,PROD-0173,364,364,0,,INS-020,pass
BATCH-43421,2024-10-12,LINE-E,PROD-0133,372,372,0,,INS-029,PASS
BATCH-53008,2024-04-04,LINE-B,PROD-0018,90,90,0,,INS-017,PASS
BATCH-44222,2022-05-28,LINE-B,PROD-0071,279,279,0,None,INS-014,PASS
BATCH-83613,2023-08-08,LINE-E,PROD-0100,426,425,1,None,INS-025,PASS
BATCH-49559,2022-06-14,LINE-E,PROD-0177,426,342,84,Surface Scratch,INS-026,FAIL
BATCH-98858,2024-08-17,LINE-A,PROD-0128,246,244,2,,INS-026,PASS
BATCH-74963,2024-05-06,LINE-B,PROD-0030,64,64,0,,INS-013,PASS
BATCH-95397,2023-05-21,LINE-B,PROD-0045,156,154,2,None,INS-022,PENDING
BATCH-93614,2022-06-09,LINE-D,PROD-0183,297,297,0,,INS-030,PASS
BATCH-86928,2022-06-24,LINE-D,PROD-0020,476,475,1,None,INS-015,PASS
BATCH-22175,2022-02-12,LINE-D,PROD-0028,168,168,0,None,INS-012,PASS
BATCH-40534,2024-08-08,LINE-B,PROD-0130,343,343,0,None,INS-018,PASS
BATCH-21520,2022-12-02,LINE-A,PROD-0054,141,141,0,None,INS-006,PASS
BATCH-50542,2022-07-20,LINE-A,PROD-0085,483,483,0,None,INS-013,PASS
BATCH-53541,2024-09-05,LINE-A,PROD-0190,206,206,0,None,INS-012,PASS
BATCH-60667,2023-11-08,LINE-B,PROD-0147,63,62,1,None,INS-014,PASS
BATCH-16363,2024-02-11,LINE-C,PROD-0128,451,450,1,,INS-027,PASS
BATCH-84481,2023-04-01,LINE-A,PROD-0121,483,483,0,None,INS-027,PASS
BATCH-73137,2024-07-20,LINE-C,PROD-0091,94,94,0,,INS-018,PASS
BATCH-89510,2023-03-04,LINE-C,PROD-0162,86,84,2,,INS-029,PASS
BATCH-36351,2023-04-16,LINE-D,PROD-0140,74,67,7,Contamination,INS-019,FAIL
BATCH-71339,2022-10-02,LINE-C,PROD-0051,170,170,0,,INS-017,PASS
BATCH-49421,2023-10-04,LINE-A,PROD-0077,62,53,9,Colour Deviation,INS-003,FAIL
BATCH-24117,2022-10-16,LINE-A,PROD-0037,137,137,0,,INS-026,PASS
BATCH-58559,2024-10-03,LINE-D,PROD-0161,121,120,1,,INS-018,pass
BATCH-35952,2022-10-15,LINE-C,PROD-0063,55,53,2,None,INS-017,PASS
BATCH-17585,2023-07-22,LINE-E,PROD-0027,117,116,1,None,INS-006,PASS
BATCH-50764,2022-08-25,LINE-D,PROD-0189,236,200,36,Colour Deviation,INS-021,FAIL
BATCH-30334,2024-01-07,LINE-C,PROD-0199,351,350,1,,INS-023,PASS
BATCH-75356,2024-05-17,LINE-A,PROD-0157,115,114,1,,INS-018,PASS
BATCH-10049,2023-08-22,LINE-E,PROD-0167,155,154,1,,INS-016,PASS
BATCH-95219,2024-07-08,LINE-A,PROD-0140,88,88,0,,INS-020,PASS
BATCH-45087,2024-08-31,LINE-B,PROD-0053,228,194,34,Surface Scratch,INS-006,FAIL
BATCH-96276,2022-02-17,LINE-D,PROD-0026,250,249,1,None,INS-016,PASS
BATCH-57323,2024-06-07,LINE-B,PROD-0051,439,439,0,None,INS-017,PASS
BATCH-52722,2024-03-21,LINE-A,PROD-0179,266,265,1,,INS-003,PASS
BATCH-91519,2022-07-15,LINE-B,PROD-0032,128,128,0,,INS-011,PASS
BATCH-81527,2023-07-04,LINE-D,PROD-0130,290,290,0,,INS-009,PASS
BATCH-25076,2023-06-28,LINE-A,PROD-0068,169,169,0,None,INS-017,PASS
BATCH-38192,2024-07-01,LINE-C,PROD-0121,268,267,1,None,INS-016,PASS
BATCH-37015,2022-03-15,LINE-D,PROD-0094,467,466,1,None,INS-010,PASS
BATCH-85001,2022-03-14,LINE-B,PROD-0100,274,273,1,None,INS-004,PASS
BATCH-73339,2022-08-09,LINE-A,PROD-0073,339,337,2,None,INS-020,PASS
BATCH-72568,2023-09-08,LINE-D,PROD-0016,245,245,0,,INS-011,fail
BATCH-19521,2023-03-08,LINE-D,PROD-0035,498,498,0,,INS-021,PASS
BATCH-34180,2023-02-07,LINE-B,PROD-0108,208,197,11,Surface Scratch,INS-007,fail
BATCH-86458,2024-05-22,LINE-E,PROD-0067,363,362,1,,INS-010,PASS
BATCH-33052,2022-05-02,LINE-A,PROD-0165,416,414,2,None,INS-021,PASS
BATCH-12443,2022-10-18,LINE-E,PROD-0198,409,407,2,None,INS-012,PASS
BATCH-55353,2024-01-15,LINE-E,PROD-0005,348,348,0,,INS-024,PASS
BATCH-99646,2022-03-02,LINE-A,PROD-0035,408,408,0,,INS-001,PASS
BATCH-83527,2024-05-23,LINE-D,PROD-0027,92,90,2,None,INS-015,pass
BATCH-72190,2023-10-19,LINE-B,PROD-0023,100,99,1,,INS-019,PASS
BATCH-63730,2022-07-05,LINE-C,PROD-0138,154,154,0,,INS-019,PASS
BATCH-82213,2022-01-10,LINE-B,PROD-0094,330,329,1,,INS-023,PASS
BATCH-52306,2024-03-17,LINE-A,PROD-0116,238,237,1,None,INS-025,PASS
BATCH-70683,2024-04-22,LINE-C,PROD-0001,438,388,50,Wrong Label,INS-006,FAIL
BATCH-14450,2023-02-09,LINE-A,PROD-0138,185,185,0,,INS-009,PASS
BATCH-37353,2022-10-11,LINE-E,PROD-0153,138,138,0,None,INS-003,PASS
BATCH-32819,2024-07-08,LINE-C,PROD-0134,369,369,0,None,INS-008,PASS
BATCH-44901,2023-10-04,LINE-B,PROD-0005,95,94,1,,INS-013,PASS
BATCH-81789,2023-05-17,LINE-A,PROD-0042,57,55,2,None,INS-024,PASS
BATCH-59192,2023-12-25,LINE-E,PROD-0067,362,362,0,,INS-013,PASS
BATCH-20858,2022-09-21,LINE-A,PROD-0175,426,425,1,None,INS-005,PASS
BATCH-27948,2022-04-03,LINE-E,PROD-0146,451,451,0,,INS-010,PASS
BATCH-71269,2024-01-29,LINE-C,PROD-0195,169,168,1,None,INS-026,PASS
BATCH-79746,2023-09-18,LINE-B,PROD-0029,137,137,0,None,INS-013,PASS
BATCH-16417,2022-01-16,LINE-C,PROD-0055,75,75,0,,INS-030,PASS
BATCH-38939,2022-07-22,LINE-C,PROD-0172,306,305,1,,INS-017,PASS
BATCH-42475,2022-04-01,LINE-E,PROD-0150,112,93,19,Wrong Label,INS-012,FAIL
BATCH-91728,2024-07-17,LINE-A,PROD-0191,83,81,2,,INS-004,PASS
BATCH-54428,2023-10-28,LINE-A,PROD-0088,152,152,0,,INS-016,PASS
BATCH-42980,2024-10-31,LINE-A,PROD-0043,90,88,2,None,INS-028,PASS
BATCH-88940,2023-01-17,LINE-E,PROD-0019,227,227,0,None,INS-010,PASS
